level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,2
row,gallop_a,half_bound_front_b,3
row,gallop_a,unclassified,1
row,gallop_b,gallop_b,6
row,gallop_c,bound,2
row,gallop_c,half_bound_front_a,2
row,gallop_c,unclassified,2
row,gallop_d,gallop_d,6
row,half_bound_front_a,bound,1
row,half_bound_front_a,half_bound_front_a,3
row,half_bound_front_a,unclassified,2
row,half_bound_front_b,bound,1
row,half_bound_front_b,half_bound_front_b,3
row,half_bound_front_b,unclassified,2
row,half_bound_hind_a,bound,2
row,half_bound_hind_a,half_bound_hind_a,3
row,half_bound_hind_a,unclassified,1
row,half_bound_hind_b,bound,3
row,half_bound_hind_b,half_bound_hind_b,3
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,4
family,gallop,gallop,12
family,gallop,half_bound,5
family,gallop,unclassified,3
family,half_bound,bound,7
family,half_bound,half_bound,12
family,half_bound,unclassified,5
family,trot,trot,6
