level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,bound,3
row,gallop_a,half_bound_hind_a,3
row,gallop_b,gallop_b,6
row,gallop_c,bound,1
row,gallop_c,half_bound_hind_b,1
row,gallop_c,unclassified,4
row,gallop_d,gallop_d,6
row,half_bound_front_a,bound,3
row,half_bound_front_a,unclassified,3
row,half_bound_front_b,bound,6
row,half_bound_hind_a,bound,3
row,half_bound_hind_a,half_bound_hind_a,3
row,half_bound_hind_b,bound,3
row,half_bound_hind_b,half_bound_hind_b,3
row,trot,trot,6
family,bound,bound,6
family,gallop,bound,4
family,gallop,gallop,12
family,gallop,half_bound,4
family,gallop,unclassified,4
family,half_bound,bound,15
family,half_bound,half_bound,6
family,half_bound,unclassified,3
family,trot,trot,6
