level,planned_label,classified_label,count
row,bound,bound,6
row,gallop_a,gallop_a,1
row,gallop_a,half_bound_front_b,2
row,gallop_a,half_bound_hind_a,1
row,gallop_a,unclassified,2
row,gallop_b,gallop_b,6
row,gallop_c,gallop_c,4
row,gallop_c,unclassified,2
row,gallop_d,gallop_d,6
row,half_bound_front_a,half_bound_front_a,6
row,half_bound_front_b,half_bound_front_b,5
row,half_bound_front_b,unclassified,1
row,half_bound_hind_a,half_bound_hind_a,6
row,half_bound_hind_b,half_bound_hind_b,6
row,trot,trot,6
family,bound,bound,6
family,gallop,gallop,17
family,gallop,half_bound,3
family,gallop,unclassified,4
family,half_bound,half_bound,23
family,half_bound,unclassified,1
family,trot,trot,6
